time,solar,load
2020-01-01 00:00:00,0,3
2020-01-01 06:00:00,8,3
2020-01-01 12:00:00,6,4
2020-01-01 18:00:00,0,5
2020-01-02 00:00:00,0,3
2020-01-02 06:00:00,7,3
2020-01-02 12:00:00,7,4
2020-01-02 18:00:00,0,4
2020-01-03 00:00:00,0,4
2020-01-03 06:00:00,3,5
2020-01-03 12:00:00,2,5
2020-01-03 18:00:00,0,6
2020-01-04 00:00:00,0,4
2020-01-04 06:00:00,2,4
2020-01-04 12:00:00,3,6
2020-01-04 18:00:00,0,5
2020-01-05 00:00:00,0,6
2020-01-05 06:00:00,1,6
2020-01-05 12:00:00,1,7
2020-01-05 18:00:00,0,7
2020-01-06 00:00:00,0,6
2020-01-06 06:00:00,1,7
2020-01-06 12:00:00,0,8
2020-01-06 18:00:00,0,10
