,solar,load
2010-01-01 00:00:00,0.0,0.15
2010-01-01 06:00:00,0.95,0.1
2010-01-01 12:00:00,0.85,0.2
2010-01-01 18:00:00,0.0,0.3
2010-01-02 00:00:00,0.0,0.3
2010-01-02 06:00:00,0.3,0.35
2010-01-02 12:00:00,0.25,0.4
2010-01-02 18:00:00,0.0,0.45
2010-01-03 00:00:00,0.0,0.55
2010-01-03 06:00:00,0.25,0.65
2010-01-03 12:00:00,0.2,0.7
2010-01-03 18:00:00,0.0,0.75
2010-01-04 00:00:00,0.0,0.2
2010-01-04 06:00:00,0.85,0.15
2010-01-04 12:00:00,0.9,0.15
2010-01-04 18:00:00,0.0,0.25
2010-01-05 00:00:00,0.0,0.35
2010-01-05 06:00:00,0.25,0.3
2010-01-05 12:00:00,0.35,0.45
2010-01-05 18:00:00,0.0,0.4
2010-01-06 00:00:00,0.0,0.9
2010-01-06 06:00:00,0.05,1.0
2010-01-06 12:00:00,0.05,1.0
2010-01-06 18:00:00,0.0,0.95
2010-01-07 00:00:00,0.0,0.3
2010-01-07 06:00:00,0.3,0.35
2010-01-07 12:00:00,0.25,0.4
2010-01-07 18:00:00,0.0,0.45
2010-01-08 00:00:00,0.0,0.15
2010-01-08 06:00:00,0.95,0.1
2010-01-08 12:00:00,0.85,0.2
2010-01-08 18:00:00,0.0,0.3
2010-01-09 00:00:00,0.0,0.55
2010-01-09 06:00:00,0.25,0.65
2010-01-09 12:00:00,0.2,0.7
2010-01-09 18:00:00,0.0,0.75
2010-01-10 00:00:00,0.0,0.2
2010-01-10 06:00:00,0.85,0.15
2010-01-10 12:00:00,0.9,0.15
2010-01-10 18:00:00,0.0,0.25
2010-01-11 00:00:00,0.0,0.35
2010-01-11 06:00:00,0.25,0.3
2010-01-11 12:00:00,0.35,0.45
2010-01-11 18:00:00,0.0,0.4
2010-01-12 00:00:00,0.0,0.15
2010-01-12 06:00:00,0.95,0.1
2010-01-12 12:00:00,0.85,0.2
2010-01-12 18:00:00,0.0,0.3
