,GHI,T,Wind,Load
2009-12-31 23:30:00,0,-2.1,7.1,375.4783938
2010-01-01 00:30:00,0,-2.8,8.6,364.5413263
2010-01-01 01:30:00,0,-3.3,9.7,357.4168443
2010-01-01 02:30:00,0,-3.2,9.8,350.1913058
2010-01-01 03:30:00,0,-3.2,9.4,345.161449
2010-01-01 04:30:00,0,-3.2,10.0,340.678216
2010-01-01 05:30:00,0,-3.2,8.0,331.0686632
2010-01-01 06:30:00,0,-3.1,9.0,326.0985216
2010-01-01 07:30:00,2,-3.0,10.0,330.3107396000001
2010-01-01 08:30:00,28,-3.0,10.0,344.8215318
2010-01-01 09:30:00,51,-2.7,10.0,359.92947589999994
2010-01-01 10:30:00,63,-2.2,9.0,381.4085719
2010-01-01 11:30:00,63,-1.8,8.0,390.8022313
2010-01-01 12:30:00,52,-2.0,8.0,395.1384731
2010-01-01 13:30:00,30,-1.5,7.0,398.7489456
2010-01-01 14:30:00,3,-1.1,6.0,393.7282758
2010-01-01 15:30:00,0,-0.9,5.0,396.9942376
2010-01-01 16:30:00,0,-0.3,4.0,419.3047529
2010-01-01 17:30:00,0,-0.2,4.0,429.14857300000006
2010-01-01 18:30:00,0,0.1,4.0,421.65661280000006
2010-01-01 19:30:00,0,0.0,5.0,408.4963027
2010-01-01 20:30:00,0,-0.1,3.0,405.1844062
2010-01-01 21:30:00,0,0.5,4.0,400.6460514
2010-01-01 22:30:00,0,0.7,5.0,381.679587
2010-01-01 23:30:00,0,0.3,5.0,363.2827137
2010-01-02 00:30:00,0,0.0,5.0,353.374585
2010-01-02 01:30:00,0,0.5,4.0,348.9970019
2010-01-02 02:30:00,0,1.1,3.0,351.8862986
2010-01-02 03:30:00,0,1.4,6.0,360.0718737
2010-01-02 04:30:00,0,1.5,3.0,373.2229968
2010-01-02 05:30:00,0,1.5,4.0,409.8605652
2010-01-02 06:30:00,0,2.0,6.0,448.43198719999987
2010-01-02 07:30:00,3,2.7,2.0,475.1154921
2010-01-02 08:30:00,28,2.8,3.0,483.6501714
